일시,수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),"Label(Swell : 1, non-Swell : 0)"
42007.29167,14.1,1.9,1.5,0.9,8.3,0
42007.33333,14.1,1.7,1.3,0.8,8.2,0
42007.375,14.1,2.2,1.7,1,8.3,0
42007.41667,14,2.4,1.7,1,8.6,0
42007.45833,14.1,1.9,1.6,0.9,8.6,0
42007.5,14.8,2.8,2.3,1.4,8.5,0
42007.54167,15,2.2,1.8,1.1,8.4,0
42007.58333,14.7,1.6,1.4,0.9,8.2,0
42007.625,14.6,1.4,1.2,0.7,8.1,0
42007.66667,14.6,1.6,1.2,0.7,8,0
42007.70833,14.5,1.5,1.1,0.7,7.9,0
42007.75,14.4,1.1,1,0.6,8.1,0
42007.79167,14.4,1,0.8,0.5,7.7,0
42007.83333,14.6,1,0.9,0.5,8,0
42007.875,14.6,1.3,1,0.6,8,0
42007.91667,14.4,1.1,0.9,0.5,7.7,0
42007.95833,14.1,1.2,1,0.7,7.9,0
42008,14.5,1.4,1,0.7,7.6,0
42008.04167,14.7,1.2,0.9,0.5,7.9,0
42008.08333,14.5,1,0.8,0.5,7.7,0
42008.125,14.2,0.9,0.7,0.4,7.4,0
42008.16667,14.1,1,0.6,0.4,6.9,0
42008.20833,14.1,0.8,0.6,0.3,6.8,0
42008.25,14.1,0.8,0.6,0.3,7.1,0
42008.29167,14,0.8,0.6,0.3,7.2,0
42008.33333,13.9,0.8,0.5,0.3,6.8,0
42008.375,13.9,0.7,0.5,0.3,6.5,0
42008.41667,14.2,0.9,0.7,0.4,7.4,0
42008.45833,14.1,0.7,0.5,0.3,7,0
42008.5,14.1,0.7,0.5,0.3,6.7,0
42008.54167,14,0.7,0.6,0.3,6.8,0
42008.58333,14,0.7,0.5,0.3,6.3,0
42008.625,14,0.7,0.5,0.3,6.3,0
42008.66667,14,0.8,0.6,0.4,6.8,0
42008.70833,14.1,0.7,0.6,0.4,6.9,0
42008.75,14.2,0.8,0.6,0.4,7,0
42008.79167,14.2,0.8,0.7,0.5,7.3,0
42008.83333,15.4,1.1,0.8,0.5,7.3,0
42008.875,15.5,1.2,0.9,0.6,7,0
42008.91667,15.6,1.1,0.8,0.5,6.9,0
42008.95833,15.4,1,0.7,0.4,6.5,0
42009,15.2,0.9,0.7,0.5,7.1,0
42009.04167,15.1,0.9,0.6,0.4,6.5,0
42009.08333,14.8,0.8,0.5,0.4,6,0
42009.125,14.6,0.8,0.6,0.4,5.8,0
42009.16667,14.6,0.9,0.5,0.3,5.5,0
42009.20833,14.6,0.7,0.5,0.3,5.8,0
42009.25,15.2,0.8,0.6,0.4,6.6,0
42009.29167,15.3,0.7,0.6,0.4,6.4,0
42009.33333,15.3,0.6,0.5,0.3,6.4,0
42009.375,15.2,0.8,0.6,0.4,6.3,0
42009.41667,15.2,0.8,0.6,0.4,6,0
42009.45833,15.2,0.8,0.6,0.4,6.3,0
42009.5,15.2,0.8,0.6,0.3,6.1,0
42009.54167,15.1,0.8,0.5,0.3,5.7,0
42009.58333,15.2,0.7,0.5,0.3,4.7,0
42009.625,15.1,0.7,0.5,0.4,4,0
42009.66667,15,0.8,0.6,0.4,4.3,0
42009.70833,14.9,0.8,0.6,0.4,3.6,0
42009.75,14.9,0.8,0.6,0.4,3.4,0
42009.79167,14.8,0.8,0.6,0.4,3.6,0
42009.83333,14.6,0.7,0.5,0.3,3.7,0
42009.875,14.8,0.6,0.5,0.3,4.3,0
42009.91667,14.8,0.8,0.5,0.4,3.5,0
42009.95833,14.7,0.8,0.5,0.3,4.1,0
42010,14.7,0.7,0.5,0.3,3.8,0
42010.04167,14.6,0.8,0.5,0.3,4.4,0
42010.08333,14.5,0.6,0.5,0.3,4.9,0
42010.125,14.3,1,0.7,0.4,4.9,0
42010.16667,14.4,1.1,0.9,0.6,5.4,0
42010.20833,14.4,1.1,0.9,0.6,5.9,0
42010.25,14.3,1.3,1.1,0.7,6.5,0
42010.29167,14.8,1.5,1.2,0.8,7.3,0
42010.33333,14.9,1.1,1,0.6,7.1,0
42010.375,14.9,1.1,0.9,0.5,6.9,0
42010.41667,14.6,1.1,0.8,0.5,6.8,0
42010.45833,14.6,0.9,0.7,0.4,6.4,0
42010.5,14.5,0.9,0.6,0.4,6,0
42010.54167,14.4,0.8,0.5,0.3,6.5,0
42010.58333,14.3,0.5,0.4,0.3,6.4,0
42010.625,14.2,0.7,0.5,0.3,5.9,0
42010.66667,14.1,0.9,0.7,0.4,6.5,0
42010.70833,14.3,1.6,1.2,0.8,7.2,0
42010.75,14.7,2.2,1.6,1,7.8,0
42010.79167,15.5,3.2,2,1.3,7.9,0
42010.83333,15.5,2.7,1.8,1.1,7.7,0
42010.875,15.4,2,1.5,0.9,7.6,0
42010.91667,15.1,1.5,1.3,0.8,7.4,0
42010.95833,14.9,1.4,1.2,0.7,7,0
42011,14.7,1.6,1.3,0.8,7.5,0
42011.04167,14.6,2.5,2,1.2,8.9,0
42011.08333,14.4,3.3,2.6,1.6,9.3,0
42011.125,14.4,3.3,2.4,1.4,9.4,0
42011.16667,14.3,2.6,2.3,1.4,9.2,0
42011.20833,14.2,2.3,1.9,1.1,9.1,0
42011.25,14.2,2.5,2,1.1,9,0
42011.29167,14.1,2.7,1.9,1.1,9.2,0
42011.33333,14.1,2.5,1.9,1.1,8.7,0
42011.375,14,2.5,1.9,1.1,9.1,0
42011.41667,13.9,2.3,1.8,1.1,8.9,0
42011.45833,13.9,2.3,1.8,1.1,8.7,0
42011.5,13.9,2.7,2,1.2,8.6,0
42011.54167,13.9,2.6,1.9,1.1,8.6,0
42011.58333,13.8,2.4,1.8,1.2,8.1,0
42011.625,13.8,2.7,1.9,1.1,8.3,0
42011.66667,13.8,2.3,1.9,1.2,8.1,0
42011.70833,14,2.6,2.1,1.4,8.4,0
42011.75,13.9,2.5,1.9,1.2,7.9,0
42011.79167,14,2.7,2.1,1.3,8.7,0
42011.83333,14,2.9,2.2,1.4,8.6,0
42011.875,14.2,2.4,2.1,1.4,8.7,0
42011.91667,14.2,2.5,1.9,1.2,8.4,0
42011.95833,14.2,2.1,2,1.3,8.6,0
42012,14,2.3,1.6,1,8.6,0
42012.04167,13.8,2.5,1.8,1.1,8.6,0
42012.08333,13.7,2.3,1.8,1.1,8.9,0
42012.125,13.7,2.4,1.8,1.1,8.6,0
42012.16667,13.6,2.2,1.7,1,9,0
42012.20833,13.5,2.5,1.7,1,8.6,0
42012.25,13.4,2.6,1.8,1.1,8.9,0
42012.29167,13.4,1.8,1.6,1,8.7,1
42012.33333,13.3,2.1,1.7,1,8.7,1
42012.375,13.4,2,1.6,1,8.6,1
42012.41667,13.8,2.7,1.9,1.3,8.9,1
42012.45833,13.7,2.1,1.8,1.1,9,1
42012.5,13.9,2.4,2.1,1.3,9,1
42012.54167,13.9,2.9,1.9,1.2,8.7,1
42012.58333,13.8,2.4,1.8,1.2,8.9,1
42012.625,13.8,2.2,1.7,1.1,8.8,1
42012.66667,13.7,2.1,1.7,1.1,8.6,1
42012.70833,13.8,2,1.8,1.1,9,1
42012.75,14,2.4,1.9,1.2,9.2,1
42012.79167,14,2.3,1.8,1.2,9.7,1
42012.83333,14,2.1,1.8,1.2,9.6,1
42012.875,14.1,2.6,2.1,1.3,10,1
42012.91667,14,2.4,2,1.3,9.6,1
42012.95833,13.8,2.5,1.9,1.1,10.4,1
42013,13.6,3,2.5,1.5,10.8,1
42013.04167,13.8,3.4,2.7,1.7,10.8,1
42013.08333,13.8,3.1,2.5,1.6,10.6,1
42013.125,13.6,3.1,2.4,1.5,11,1
42013.16667,13.4,2.6,2,1.3,10.3,1
42013.20833,13.4,2.5,2,1.2,10.5,1
42013.25,13.5,2.8,2.2,1.4,10.1,1
42013.29167,13.4,2.7,2.1,1.2,9.9,1
42013.33333,13.6,2.8,2.1,1.4,9.8,1
42013.375,13.7,2.3,2,1.3,9.7,1
42013.41667,13.7,2.6,2.1,1.3,9.8,1
42013.45833,13.7,2.4,1.8,1.1,9.6,1
42013.5,13.8,2.4,1.8,1.1,9.7,1
42013.54167,13.8,2.4,1.8,1.1,9.7,1
42013.58333,13.8,2.1,1.6,1,9.3,1
42013.625,13.7,2.1,1.6,1.1,9.1,1
42013.66667,13.6,2.2,1.6,1,9.4,1
42013.70833,13.5,1.9,1.5,0.9,9.3,1
42013.75,13.5,2,1.5,0.9,9.8,1
42013.79167,13.4,2.1,1.5,0.9,9.7,1
42013.83333,13.7,2,1.7,1,10.1,1
42013.875,13.7,1.8,1.7,1.1,9.6,1
42013.91667,13.5,2,1.8,1.2,9.6,1
42013.95833,13.6,2.5,1.8,1.1,9.4,1
42014,13.4,2.1,1.6,1,9.5,1
42014.04167,13.5,2,1.6,1,9.2,1
42014.08333,13.9,3.1,2,1.2,9.7,1
42014.125,13.9,2.7,1.9,1.2,9,1
42014.16667,13.9,2.5,1.8,1.1,8.9,1
42014.20833,13.5,2.1,1.4,0.9,8.8,1
42014.25,13.4,1.9,1.4,0.8,8.8,1
42014.29167,13.6,1.6,1.4,0.9,8.5,1
42014.33333,13.6,1.7,1.2,0.8,8.3,1
42014.375,13.5,1.6,1.2,0.8,8.2,1
42014.41667,13.5,1.7,1.2,0.8,8.1,1
42014.45833,13.5,1.4,1.1,0.6,8,1
42014.5,13.4,1.6,1.1,0.7,8.5,1
42014.54167,13.9,1.6,1.2,0.7,8.6,1
42014.58333,14,1.6,1.1,0.7,8.5,1
42014.625,13.9,1.6,1.2,0.8,8.7,1
42014.66667,13.8,1.7,1.3,0.8,8.6,1
42014.70833,13.8,1.5,1.2,0.7,8.8,1
42014.75,13.7,1.7,1.3,0.9,8,1
42014.79167,14,1.9,1.4,0.9,8.4,1
42014.83333,13.9,1.8,1.4,0.9,8.5,1
42014.875,14.1,1.7,1.3,0.9,8.6,1
42014.91667,14.2,1.4,1.2,0.8,8.5,1
42014.95833,14.2,1.4,1.2,0.8,8.5,1
42015,14.3,1.6,1.2,0.8,8.6,1
42015.04167,14.3,1.2,1.1,0.7,8.5,1
42015.08333,14.2,1.5,1.1,0.7,8.3,1
42015.125,14.4,1.4,1.1,0.7,8.3,1
42015.16667,14.1,1.2,0.9,0.6,8.3,1
42015.20833,13.9,1.2,0.9,0.5,8.3,1
42015.25,13.9,0.9,0.8,0.5,8.2,1
42015.29167,14,1.2,0.8,0.5,8.3,0
42015.33333,13.9,1.1,0.7,0.4,8.1,0
42015.375,13.7,1,0.7,0.4,7.8,0
42015.41667,13.7,1,0.7,0.4,7.8,0
42015.45833,13.6,0.9,0.7,0.4,7.7,0
42015.5,13.6,1,0.7,0.4,6.5,0
42015.54167,13.8,1.1,0.7,0.4,7.1,0
42015.58333,13.6,1.2,0.8,0.4,7.4,0
42015.625,13.6,1,0.7,0.4,7.6,0
42015.66667,13.5,1.1,0.7,0.4,7.4,0
42015.70833,13.7,1.1,0.7,0.4,7.1,0
42015.75,13.6,1,0.9,0.6,7.9,0
42015.79167,13.5,2.6,1.8,1,7.9,0
42015.83333,13.4,2.1,1.5,1,7.5,0
42015.875,13.5,1.8,1.4,0.9,7.3,0
42015.91667,14.2,1.8,1.3,0.8,7.1,0
42015.95833,14.2,2.2,1.7,1,8,0
42016,14.2,2.5,1.8,1.1,7.8,0
42016.04167,13.9,2.2,1.5,1,7.6,0
42016.08333,13.7,2.1,1.7,1,8.1,0
42016.125,13.7,1.9,1.5,0.9,7.7,0
42016.16667,13.6,1.9,1.5,0.9,7.5,0
42016.20833,13.6,1.8,1.5,1,7.9,0
42016.25,13.6,2.6,1.6,0.9,7.4,0
42016.29167,13.6,2.5,2,1.2,7.7,0
42016.33333,13.5,2.3,1.7,1,8,0
42016.375,13.5,2.6,1.9,1.2,8.1,0
42016.41667,13.6,2.9,2.2,1.4,8.4,1
42016.45833,13.7,2.6,2.1,1.3,8.2,1
42016.5,13.7,3,2.1,1.3,8.1,1
42016.54167,13.6,3.1,2.1,1.3,8.2,1
42016.58333,13.6,2.9,2.3,1.5,8.2,1
42016.625,13.5,3.2,2.4,1.5,8.4,1
42016.66667,13.5,2.8,2.5,1.6,8.9,1
42016.70833,14.1,3.4,2.5,1.6,8.9,1
42016.75,14.2,2.9,2.3,1.5,8.7,1
42016.79167,14.1,3,2.3,1.4,8.6,1
42016.83333,14.2,2.6,2,1.3,8.9,1
42016.875,14,2,1.7,1.1,8.3,1
42016.91667,13.9,2.1,1.5,0.9,7.8,1
42016.95833,13.9,1.9,1.6,1,8.1,1
42017,13.9,1.8,1.6,1,8.6,
42017.04167,13.8,1.9,1.6,1.1,8.5,
42017.08333,13.6,2.4,1.7,1,8.5,
42017.125,13.4,2.3,1.8,1.1,8.4,
42017.16667,13.3,2.8,1.7,1,8.7,
42017.20833,13.3,2.5,2,1.2,8.9,
42017.25,13.2,3,2.3,1.4,8.8,
42017.29167,13.8,3.2,2.5,1.5,9.1,
42017.33333,14,3.6,2.5,1.5,8.8,
42017.375,13.6,2.7,1.8,1.2,8.5,
42017.41667,14.1,2.5,2,1.3,8.7,
42017.45833,14.2,2,1.7,1.1,8.5,
42017.5,13.7,2,1.6,1,8.5,
42017.54167,13.7,1.8,1.3,0.9,8.1,
42017.58333,13.7,1.6,1.2,0.7,8,
42017.625,13.5,1.7,1.2,0.8,8.8,
42017.66667,13.6,1.7,1.2,0.7,8.1,
42017.70833,13.5,1.4,1.1,0.7,8.2,
42017.75,13.4,1.5,1.1,0.6,8,
42017.79167,13.3,1.7,1.1,0.7,8.6,
42017.83333,13.3,1.3,1,0.6,8.6,
42017.875,13.2,1.3,1,0.6,8.9,
42017.91667,13.2,1.4,1.1,0.7,8.8,
42017.95833,13.2,1.4,1.1,0.7,8.9,
42018,13.3,1.6,1.2,0.7,9.2,0
42018.04167,13.4,1.5,1.1,0.7,9.3,0
42018.08333,13.4,1.3,0.9,0.6,8.6,0
42018.125,13.3,1.5,1,0.6,8.8,0
42018.16667,13.3,1.6,1.2,0.8,9,0
42018.20833,13.5,1.3,1.1,0.7,8.9,0
42018.25,13.2,1.4,0.9,0.6,8.2,0
42018.29167,13.2,1.2,0.9,0.6,8.3,0
42018.33333,13.2,1.2,0.9,0.6,8.1,0
42018.375,13.2,1,0.9,0.5,8.4,0
42018.41667,13.2,1.1,0.8,0.5,8.1,0
42018.45833,13.1,1,0.8,0.5,8.3,0
42018.5,13.1,1,0.8,0.5,7.9,0
42018.54167,13.2,1,0.8,0.5,8.3,0
42018.58333,13.3,1.1,0.8,0.5,8.5,0
42018.625,13.2,1,0.8,0.5,8.1,0
42018.66667,13.4,1.1,1,0.6,8.9,0
42018.70833,13.5,1.1,0.8,0.5,8.6,0
42018.75,13.3,1.1,0.8,0.5,8.3,0
42018.79167,13.3,1.1,0.8,0.5,8.8,0
42018.83333,13.4,1.1,0.8,0.5,8.8,0
42018.875,13.4,1.1,0.9,0.5,8.5,0
42018.91667,13.4,1.1,0.8,0.5,8.2,0
42018.95833,13.3,0.8,0.7,0.4,8.1,0
42019,13.3,0.9,0.7,0.4,7.4,0
42019.04167,13.3,0.9,0.7,0.4,7.4,0
42019.08333,13.4,1.5,1.1,0.7,5.5,0
42019.125,13.4,1.6,1.2,0.7,5.7,0
42019.16667,13.3,1.8,1.3,0.8,6,0
42019.20833,13.4,1.6,1.1,0.7,5.9,0
42019.25,13.5,1.5,1,0.7,5.4,0
42019.29167,13.5,1.6,1.1,0.7,5.5,0
42019.33333,13.4,1.6,1.1,0.7,5.5,0
42019.375,13.4,1.4,1.1,0.7,5.5,0
42019.41667,13.6,1.8,1.2,0.7,5.5,0
42019.45833,13.6,1.7,1.2,0.8,5.7,0
42019.5,13.5,1.7,1.1,0.7,4.9,0
42019.54167,13.4,1.3,1,0.6,4.7,0
42019.58333,13.5,1.5,0.9,0.6,5.5,0
42019.625,13.6,1.4,1,0.6,5.4,0
42019.66667,13.7,1.7,1.2,0.7,5.7,0
42019.70833,13.7,3,1.9,1.1,7.2,0
42019.75,13.7,2.8,2.2,1.3,7.4,0
42019.79167,13.8,2.6,1.8,1.1,7,0
42019.83333,13.8,2.2,1.9,1.3,7.3,0
42019.875,13.8,2.8,2,1.3,7.4,0
42019.91667,13.8,2.2,1.7,1.1,7.1,0
42019.95833,13.7,2.4,1.7,1,6.9,0
42020,13.6,2.4,1.6,1.1,7,0
42020.04167,13.7,2.3,1.5,0.9,6.9,0
42020.08333,13.8,1.9,1.5,1,7.1,0
42020.125,13.7,2.2,1.8,1.2,7.1,0
42020.16667,13.7,2.3,1.6,1,7.4,0
42020.20833,13.6,2.1,1.5,0.9,7.3,0
42020.25,13.7,2,1.5,1,7.2,0
42020.29167,13.8,1.9,1.5,0.9,7.7,0
42020.33333,13.7,2.2,1.5,1,7.6,0
42020.375,13.8,1.8,1.3,0.9,7.3,0
42020.41667,13.8,2.1,1.6,1,7.9,0
42020.45833,13.8,1.8,1.4,0.9,7.6,0
42020.5,13.7,2.1,1.5,1,7.7,0
42020.54167,13.7,2.2,1.4,0.9,7.3,0
42020.58333,13.7,1.6,1.2,0.7,7.6,0
42020.625,13.5,1.4,1.2,0.7,7.6,0
42020.66667,13.5,1.2,1,0.7,7.5,0
42020.70833,13.4,1.2,0.9,0.6,7.5,0
42020.75,13.3,1.3,0.8,0.5,7.6,0
42020.79167,13.7,1.1,0.8,0.5,7.8,0
42020.83333,13.5,0.9,0.6,0.3,7.5,0
42020.875,13.3,0.9,0.6,0.4,6.5,0
42020.91667,13.2,0.6,0.5,0.3,7,0
42020.95833,13.1,0.6,0.4,0.3,6.6,0
42021,12.9,0.6,0.4,0.2,5.2,0
42021.04167,12.9,0.6,0.4,0.3,5.2,0
42021.08333,12.8,0.5,0.4,0.2,6.4,0
42021.125,12.7,0.6,0.4,0.3,6.9,0
42021.16667,12.6,0.7,0.4,0.3,6,0
42021.20833,12.6,0.8,0.6,0.3,6.8,0
42021.25,12.6,0.8,0.5,0.3,6,0
42021.29167,12.5,0.8,0.5,0.3,6.1,0
42021.33333,12.6,0.9,0.6,0.4,5.3,0
42021.375,12.7,1.1,0.7,0.4,6.1,0
42021.41667,12.6,1.1,0.7,0.4,5.5,0
42021.45833,12.5,1.2,0.8,0.5,7.1,0
42021.5,12.5,0.9,0.7,0.4,6.9,0
42021.54167,12.5,1.2,1,0.6,7.5,0
42021.58333,12.5,1.9,1.2,0.7,7.5,0
42021.625,12.9,2.8,1.9,1.1,8.2,0
42021.66667,13.1,2.1,1.7,1.1,8,0
42021.70833,13.1,2.4,1.8,1.1,8.1,0
42021.75,13.1,2.1,1.5,1,8.1,0
42021.79167,13,2.5,1.7,1,8.1,0
42021.83333,13,2.1,1.6,1,8.1,0
42021.875,13,2.1,1.6,0.9,8.3,0
42021.91667,12.8,2.3,1.7,1.1,8.4,0
42021.95833,12.9,1.9,1.4,0.8,8.1,0
42022,12.8,1.8,1.5,0.9,8.4,0
42022.04167,12.7,1.9,1.4,0.8,8.3,0
42022.08333,12.6,1.6,1.3,0.8,8,0
42022.125,12.4,1.8,1.2,0.7,7.4,0
42022.16667,12.3,1.7,1.2,0.7,7.8,0
42022.20833,12.4,1.5,1,0.6,6.8,0
42022.25,12.3,1.6,1,0.6,6.9,0
42022.29167,12.3,1.9,1.1,0.7,6.8,0
42022.33333,12.4,1.6,1.1,0.6,7.3,0
42022.375,12.5,1.7,1.1,0.7,7.1,0
42022.41667,12.5,1.4,1.1,0.6,7.6,0
42022.45833,12.4,1.3,0.9,0.5,8.2,0
42022.5,12.4,1,0.8,0.5,7.9,0
42022.54167,12.6,1.2,0.8,0.5,8.1,0
42022.58333,12.9,1.3,0.8,0.5,7.9,0
42022.625,12.7,1.3,0.9,0.5,7,0
42022.66667,13.2,1.4,1,0.6,6.7,0
42022.70833,13,1.2,0.9,0.5,7.3,0
42022.75,13.3,1.4,1,0.6,7.3,0
42022.79167,13.1,1.2,1,0.7,6.8,0
42022.83333,13.1,1.1,0.8,0.5,7.6,0
42022.875,12.8,1,0.9,0.6,7.5,0
42022.91667,13.5,1.3,0.8,0.5,7.5,0
42022.95833,13,1.1,0.7,0.5,6.8,0
42023,12.6,1,0.7,0.4,6.5,0
42023.04167,12.5,0.9,0.7,0.4,6.2,0
42023.08333,12.3,0.9,0.6,0.4,5.5,0
42023.125,12.3,0.8,0.5,0.3,5.3,0
42023.16667,12.3,0.7,0.5,0.3,5.3,0
42023.20833,12.4,0.7,0.5,0.3,5.2,0
42023.25,12.4,0.8,0.5,0.3,3.4,0
42023.29167,12.4,0.8,0.5,0.3,3.5,0
42023.33333,12.3,0.7,0.5,0.3,4.1,0
42023.375,12.2,0.7,0.5,0.3,6.5,0
42023.41667,12.5,0.9,0.5,0.3,5,0
42023.45833,12.5,0.6,0.5,0.3,6.2,0
42023.5,12.5,0.6,0.4,0.3,6.3,0
42023.54167,12.5,0.6,0.5,0.3,5.9,0
42023.58333,12.2,0.9,0.6,0.4,6.3,0
42023.625,12.1,0.7,0.6,0.3,5.8,0
42023.66667,12.1,0.7,0.5,0.3,6.2,0
42023.70833,12.1,0.7,0.5,0.3,6.6,0
42023.75,12.1,0.8,0.5,0.3,6.5,0
42023.79167,12,0.9,0.5,0.3,6.9,0
42023.83333,12.6,0.7,0.5,0.3,6.5,0
42023.875,12.9,0.6,0.5,0.3,6.9,0
42023.91667,13.3,0.7,0.5,0.3,7,0
42023.95833,13.5,0.7,0.5,0.3,6.6,0
42024,13.5,0.8,0.5,0.3,6.8,0
42024.04167,13,0.7,0.5,0.3,6.9,0
42024.08333,12.8,0.7,0.4,0.3,5,0
42024.125,12.6,0.9,0.5,0.3,5.5,0
42024.16667,12.3,0.8,0.5,0.3,6.1,0
42024.20833,12.2,0.7,0.5,0.3,5.7,0
42024.25,12.2,0.7,0.5,0.3,5.5,0
42024.29167,12.2,0.8,0.5,0.3,6,0
42024.33333,12.2,0.7,0.5,0.3,6.2,0
42024.375,12.1,0.7,0.5,0.3,6,0
42024.41667,12,0.7,0.5,0.3,6.1,0
42024.45833,12.4,0.8,0.6,0.3,6.4,0
42024.5,13.4,0.7,0.6,0.4,6.5,0
42024.54167,13.3,0.8,0.6,0.4,6.1,0
42024.58333,13.3,0.9,0.6,0.4,6.2,0
42024.625,13.3,0.9,0.7,0.4,6.1,0
42024.66667,12.8,0.8,0.6,0.4,6,0
42024.70833,12.7,1.1,0.7,0.4,5.8,0
42024.75,12.6,1,0.7,0.4,5.9,0
42024.79167,13.4,1.2,0.8,0.5,6.5,0
42024.83333,13.9,1.1,0.7,0.5,6.3,0
42024.875,13.8,1.1,0.8,0.5,6.1,0
42024.91667,13.5,0.9,0.7,0.5,6.4,0
42024.95833,13.2,1,0.8,0.5,7.1,0
42025,13.2,1.3,1,0.6,7.4,0
42025.04167,13.1,1.3,1,0.6,7.2,0
42025.08333,13,1.4,1,0.6,7,0
42025.125,12.9,1.3,0.9,0.6,7.2,0
42025.16667,12.8,1.1,0.8,0.5,6.8,0
42025.20833,12.7,1.2,0.8,0.5,7,0
42025.25,12.6,1.2,0.8,0.5,6.7,0
42025.29167,12.7,1.1,0.8,0.5,6.5,0
42025.33333,12.7,1.2,0.9,0.5,6.6,0
42025.375,13,1.4,0.9,0.6,6.1,0
42025.41667,12.9,1.4,1.1,0.7,6.3,0
42025.45833,12.9,1.4,1,0.6,6,0
42025.5,12.8,1.4,1.1,0.7,6.1,0
42025.54167,12.7,1.8,1.1,0.7,6,0
42025.58333,12.9,1.4,1,0.6,6.2,0
42025.625,12.9,1.4,0.9,0.6,6.3,0
42025.66667,12.8,1.3,1,0.6,6.1,0
42025.70833,12.7,1.2,0.9,0.6,6.1,0
42025.75,12.5,1.4,0.9,0.6,6.2,0
42025.79167,12.4,1.3,0.9,0.5,5.9,0
42025.83333,12.9,1.1,0.9,0.6,6.3,0
42025.875,13.2,1.4,0.9,0.6,6.3,0
42025.91667,13.2,1.1,0.8,0.5,5.8,0
42025.95833,13.2,1,0.8,0.5,6.1,0
42026,13,1.2,0.9,0.5,5.9,0
42026.04167,12.9,1.1,0.8,0.5,5.7,0
42026.08333,12.8,1.1,0.9,0.6,5.6,0
42026.125,12.8,1.3,0.9,0.5,5.1,0
42026.16667,12.7,1.6,1.1,0.7,4.9,0
42026.20833,12.7,1.4,1.2,0.8,5.2,0
42026.25,12.6,1.4,1,0.6,5.2,0
42026.29167,12.5,1.6,1.1,0.7,5.2,0
42026.33333,12.2,1.4,1.1,0.7,5.7,0
42026.375,12.6,2,1.2,0.8,5.2,0
42026.41667,12.5,1.5,1.2,0.8,5.7,0
42026.45833,12,2,1.4,0.9,6,0
42026.5,11.4,1.9,1.2,0.8,5.6,0
42026.54167,11.2,2,1.4,0.9,6,0
42026.58333,11.7,2.1,1.5,0.9,6.5,0
42026.625,12,2.9,2,1.3,6.8,0
